filename,width,height,class,xmin,ymin,xmax,ymax,,
37.PNG,259,194,PK_ID_ln,90,46,108,57,,
37.PNG,259,194,PK_ID_country,92,120,125,130,,
37.PNG,259,194,PK_ID_id,66,142,125,152,,
37.PNG,259,194,PK_ID_dob,134,142,175,152,,
38.PNG,600,375,PK_ID_fn,187.5,86.71875,279.84375,108.28125,,
38.PNG,600,375,PK_ID_ln,280.78125,86.71875,396.09375,109.21875,,
38.PNG,600,375,PK_ID_dob,315.9375,284.0625,394.21875,304.21875,,
38.PNG,600,375,PK_ID_id,182.8125,284.0625,300.9375,303.75,,
38.PNG,600,375,PK_ID_country,240,236.25,302.8125,260.15625,,
39.PNG,600,360,PK_ID_fn,163.8000031,78.59999847,226.1999969,102,,
39.PNG,600,360,PK_ID_ln,229.7999878,78.59999847,297,103.7999954,,
39.PNG,600,360,PK_ID_country,232.1999969,242.4000092,298.2000122,262.2000122,,
39.PNG,600,360,PK_ID_dob,318.6000061,289.7999878,403.1999817,307.8000183,,
39.PNG,600,360,PK_ID_id,167.4000092,289.7999878,301.8000183,310.8000183,,
4.PNG,553,395,PK_PP_fn,191,88,298,103,,
4.PNG,553,395,PK_PP_ln,191,69,250,81,,
4.PNG,553,395,PK_PP_country,190,108,263,122,,
4.PNG,553,395,PK_PP_dob,194,128,273,140,,
4.PNG,553,395,PK_PP_id,369,49,439,64,,
4.PNG,553,395,PK_PP_address,248,149,304,163,,
40.PNG,273,185,PK_ID_fn,73,39,99,48,,
40.PNG,273,185,PK_ID_ln,100,39,127,48,,
40.PNG,273,185,PK_ID_country,98,113,130,124,,
40.PNG,273,185,PK_ID_id,69,135,130,147,,
40.PNG,273,185,PK_ID_dob,139,137,179,149,,
41.PNG,600,465,PK_ID_fn,184.8387146,156.9375,275.8064575,189.875,,
41.PNG,600,465,PK_ID_ln,282.580658,155.96875,346.4515991,190.84375,,
41.PNG,600,465,PK_ID_country,244.8387146,301.28125,341.6128845,331.3125,,
41.PNG,600,465,PK_ID_dob,321.2903442,354.5625,421.9354858,379.75,,
41.PNG,600,465,PK_ID_id,160.6451721,355.53125,300,376.84375,,
42.PNG,600,387,PK_ID_fn,165.8203125,93.8181839,210.9375,113.7545395,,
42.PNG,600,387,PK_ID_ln,213.28125,92.64545441,294.140625,114.3409042,,
42.PNG,600,387,PK_ID_id,161.71875,284.3863831,280.078125,307.2545471,,
42.PNG,600,387,PK_ID_dob,318.75,285.559082,390.8203125,305.4954529,,
42.PNG,600,387,PK_ID_country,234.375,243.9272766,373.2421875,263.2772827,,
5.PNG,541,378,PK_PP_fn,187,73,225,85,,
5.PNG,541,378,PK_PP_ln,188,51,233,66,,
5.PNG,541,378,PK_PP_country,187,93,260,106,,
5.PNG,541,378,PK_PP_dob,188,112,267,126,,
5.PNG,541,378,PK_PP_address,244,131,304,149,,
5.PNG,541,378,PK_PP_id,369,33,443,48,,
6.PNG,539,381,PK_PP_fn,188,76,309,89,,
6.PNG,539,381,PK_PP_ln,188,56,235,69,,
6.PNG,539,381,PK_PP_country,188,97,258,109,,
6.PNG,539,381,PK_PP_address,245,137,296,151,,
6.PNG,539,381,PK_PP_dob,187,115,271,129,,
6.PNG,539,381,PK_PP_id,347,35,420,49,,
7.PNG,600,443,PK_PP_fn,225.6937256,101.0458984,310.7913513,116.449234,,
7.PNG,600,443,PK_PP_ln,223.2271271,78.24895477,292.9085388,94.26843262,,
7.PNG,600,443,PK_PP_country,225.0770874,124.4589691,302.7749023,139.8623047,,
7.PNG,600,443,PK_PP_dob,221.9938354,147.2559204,315.7245789,162.0431061,,
7.PNG,600,443,PK_PP_address,286.7420349,169.4367218,372.4563293,184.2239227,,
7.PNG,600,443,PK_PP_id,423.0215759,57.30041504,496.4028931,72.0876236,,
8.PNG,600,480,PK_PP_fn,187.2445831,111.826622,274.1795654,127.0588303,,
8.PNG,600,480,PK_PP_ln,186.1300354,86.9349823,245.5727539,105.1393204,,
8.PNG,600,480,PK_PP_id,386.0061646,61.30030823,472.1981506,77.27554321,,
8.PNG,600,480,PK_PP_country,185.3869934,134.8606873,265.6346741,150.0928802,,
8.PNG,600,480,PK_PP_dob,184.2724457,156.0371399,279.7523193,173.1269379,,
8.PNG,600,480,PK_PP_address,252.2600555,179.8142548,313.5603638,198.0185852,,
9.PNG,600,422,PK_PP_fn,202,69.08185577,242.5,83.59905243,,
9.PNG,600,422,PK_PP_ln,203.5,50.55990601,245,65.57769775,,
9.PNG,600,422,PK_PP_country,199,88.60498047,271.5,103.1221848,,
9.PNG,600,422,PK_PP_dob,199,110.1304855,281.5,124.1470947,,
9.PNG,600,422,PK_PP_address,256.5,131.1553955,331,146.1731873,,
9.PNG,600,422,PK_PP_id,379,33.03914642,452,49.55871964,,
